Time,Agent[1],Agent[2],Agent[3],Agent[4],Agent[5],Agent[6]
0,8,8,8,8,8,8
0.02,7.987760016,7.99388603,8.006125618,8.012239994,8.006101077,7.993860688
0.04,7.975211711,7.987612514,8.012334056,8.024660337,8.012237804,7.987510633
0.06,7.962288596,7.981116723,8.018565077,8.037202211,8.018350709,7.980885116
0.08,7.948926046,7.974338196,8.024760243,8.049807678,8.024380806,7.973920447
0.1,7.935061326,7.967218759,8.030862939,8.062419708,8.030269644,7.966554001
0.12,7.920633619,7.959702543,8.036818383,8.074982213,8.035959351,7.958724257
0.14,7.905584053,7.951735994,8.042573637,8.087440081,8.041392682,7.950370837
0.16,7.889855725,7.943267892,8.048077623,8.099739204,8.046513058,7.941434537
0.18,7.873393723,7.934249363,8.053281127,8.111826509,8.051264611,7.931857365
0.2,7.856145155,7.924633891,8.058136812,8.123649985,8.055592225,7.921582573
0.22,7.838059171,7.914377334,8.062599224,8.135158708,8.059441571,7.910554685
0.24,7.819086984,7.903437931,8.066624794,8.146302866,8.062759151,7.898719536
0.26,7.799181895,7.891776317,8.070171849,8.157033783,8.065492328,7.886024292
0.28,7.778299316,7.879355533,8.073200609,8.167303935,8.067589364,7.872417483
0.3,7.75639679,7.866141035,8.075673191,8.177066974,8.068999447,7.857849031
0.32,7.733434019,7.852100703,8.077553607,8.186277742,8.069672727,7.84227027
0.34,7.709372878,7.837204856,8.078807764,8.194892285,8.069560338,7.825633975
0.36,7.684177446,7.821426251,8.079403458,8.202867864,8.068614428,7.807894381
0.38,7.657814024,7.804740103,8.079310369,8.210162969,8.06678818,7.789007208
0.4,7.630251159,7.787124084,8.078500056,8.216737321,8.064035833,7.768929676
0.42,7.601459666,7.768558334,8.076945944,8.222551881,8.060312703,7.747620529
0.44,7.571412658,7.749025468,8.074623315,8.227568851,8.055575198,7.725040048
0.46,7.540085562,7.728510585,8.071509293,8.231751674,8.04978083,7.70115007
0.48,7.507456151,7.707001268,8.067582832,8.235065032,8.04288823,7.675914002
0.5,7.473504569,7.684487594,8.062824691,8.237474838,8.034857157,7.649296833
0.52,7.438213356,7.660962139,8.057217422,8.238948234,8.0256485,7.621265152
0.54,7.401567482,7.636419978,8.050745343,8.239453574,8.015224287,7.591787151
0.56,7.363554372,7.610858694,8.043394511,8.238960413,8.003547686,7.560832645
0.58,7.324163941,7.584278372,8.035152697,8.237439493,7.990583002,7.528373076
0.6,7.283388627,7.556681608,8.026009354,8.234862718,7.976295672,7.494381523
0.62,7.241223431,7.528073502,8.015955582,8.231203139,7.960652263,7.458832713
0.64,7.197665948,7.498461661,8.004984091,8.226434921,7.94362046,7.421703027
0.66,7.152716417,7.467856193,7.993089162,8.22053332,7.925169057,7.382970509
0.68,7.106377758,7.436269699,7.980266598,8.213474652,7.90526794,7.342614875
0.7,7.058655625,7.403717271,7.966513681,8.205236251,7.883888072,7.300617518
0.72,7.009558453,7.370216475,7.95182912,8.195796442,7.861001475,7.256961521
0.74,6.959097518,7.335787343,7.936212989,8.185134488,7.836581205,7.211631663
0.76,6.90728699,7.300452351,7.919666672,8.173230556,7.810601332,7.164614431
0.78,6.854144004,7.264236404,7.902192796,8.160065662,7.78303691,7.115898033
0.8,6.799688723,7.227166804,7.883795163,8.145621619,7.753863951,7.065472411
0.82,6.743944418,7.189273228,7.864478669,8.129880988,7.723059389,7.013329256
0.84,6.686937541,7.150587685,7.844249231,8.112827012,7.690601052,6.959462033
0.86,6.62869782,7.11114448,7.823113697,8.094443559,7.656467622,6.903865997
0.88,6.569258343,7.070980162,7.801079754,8.074715052,7.620638597,6.846538227
0.9,6.508655663,7.030133466,7.778155833,8.053626402,7.583094255,6.787477655
0.92,6.4469299,6.988645252,7.754351,8.031162933,7.543815607,6.726685106
