Time,Agent[1],Agent[2],Agent[3],Agent[4],Agent[5],Agent[6]
0,1.047197551,1.047197551,1.047197551,1.047197551,1.047197551,1.047197551
0.02,1.047165702,1.045869095,1.045908419,1.047235788,1.048524954,1.048519535
0.04,1.048413409,1.045788775,1.044575831,1.045963026,1.04856815,1.049866683
0.06,1.049638009,1.045656652,1.043205129,1.044684147,1.048625396,1.051239405
0.08,1.05084045,1.045473299,1.041796571,1.043398381,1.048696079,1.052638133
0.1,1.052021655,1.045239244,1.040350395,1.042104992,1.048779649,1.054063359
0.12,1.053182519,1.044954925,1.038866788,1.040803279,1.048875622,1.055515637
0.14,1.054323904,1.044620688,1.03734588,1.039492574,1.048983581,1.056995584
0.16,1.055446635,1.04423678,1.035787742,1.038172244,1.049103185,1.058503889
0.18,1.056551493,1.043803343,1.034192386,1.036841687,1.049234166,1.060041308
0.2,1.057639215,1.043320413,1.03255976,1.035500335,1.049376335,1.061608673
0.22,1.058710481,1.042787909,1.03088975,1.034147657,1.049529584,1.063206896
0.24,1.059765917,1.042205633,1.029182177,1.03278315,1.049693892,1.064836965
0.26,1.060806084,1.041573262,1.027436794,1.031406349,1.049869327,1.066499954
0.28,1.061831473,1.040890346,1.02565329,1.030016822,1.050056047,1.068197025
0.3,1.062842499,1.040156298,1.023831286,1.028614173,1.050254309,1.069929427
0.32,1.063839495,1.039370398,1.021970336,1.027198043,1.050464471,1.071698502
0.34,1.064822701,1.03853178,1.020069928,1.025768109,1.050686994,1.07350569
0.36,1.065792259,1.03763943,1.018129485,1.02432409,1.05092245,1.075352525
0.38,1.066748203,1.036692185,1.016148363,1.022865744,1.051171525,1.077240647
0.4,1.06769045,1.035688723,1.014125858,1.021392875,1.051435025,1.079171798
0.42,1.068618788,1.034627562,1.012061202,1.019905329,1.051713882,1.081147826
0.44,1.069532868,1.033507052,1.009953566,1.018403006,1.052009159,1.083170691
0.46,1.070432189,1.032325375,1.007802067,1.016885854,1.052322057,1.085242463
0.48,1.071316083,1.031080537,1.005605763,1.015353878,1.052653923,1.087365327
0.5,1.072183708,1.029770364,1.003363664,1.013807142,1.053006255,1.089541587
0.52,1.073034025,1.028392501,1.001074728,1.012245775,1.053380714,1.091773664
0.54,1.073865784,1.026944401,0.99873787,1.010669973,1.053779127,1.094064101
0.56,1.074677507,1.025423329,0.996351964,1.009080006,1.054203505,1.096415561
0.58,1.075467466,1.023826352,0.993915848,1.007476226,1.054656044,1.098830835
0.6,1.076233664,1.022150339,0.991428327,1.005859068,1.055139143,1.101312833
0.62,1.076973809,1.020391956,0.988888183,1.00422906,1.055655413,1.103864592
0.64,1.077685293,1.018547664,0.986294175,1.002586831,1.056207689,1.106489273
0.66,1.078365161,1.016613718,0.983645052,1.000933118,1.056799047,1.109190157
0.68,1.079010086,1.014586162,0.980939553,0.999268773,1.057432817,1.111970645
0.7,1.079616334,1.012460832,0.97817642,0.997594776,1.058112601,1.114834254
0.72,1.080179735,1.010233353,0.975354404,0.995912241,1.058842288,1.117784612
0.74,1.080695641,1.00789914,0.972472274,0.994222431,1.059626078,1.120825449
0.76,1.081158897,1.005453403,0.969528825,0.992526765,1.060468498,1.12396059
0.78,1.081563789,1.002891146,0.96652289,0.990826837,1.061374428,1.127193942
0.8,1.08190401,1.000207176,0.963453352,0.989124423,1.062349122,1.130529483
0.82,1.082172608,0.997396104,0.960319151,0.987421503,1.063398239,1.133971238
0.84,1.082361941,0.994452358,0.957119303,0.985720268,1.064527868,1.137523264
0.86,1.082463624,0.99137019,0.953852908,0.984023149,1.065744563,1.14118962
0.88,1.082468473,0.988143692,0.950519166,0.982332825,1.067055369,1.144974336
0.9,1.082366452,0.984766804,0.947117396,0.980652249,1.06846787,1.148881374
0.92,1.082146617,0.98123334,0.943647046,0.978984672,1.069990217,1.152914585
0.94,1.081797049,0.977537001,0.940107715,0.977333661,1.071631178,1.157077651
0.96,1.081304798,0.973671406,0.936499173,0.97570313,1.073400183,1.161374027
0.98,1.080655822,0.969630114,0.932821375,0.974097366,1.075307371,1.165806859
1,1.079834924,0.965406656,0.929074489,0.972521063,1.077363649,1.170378899
1.02,1.078825691,0.960994573,0.925258914,0.970979349,1.079580745,1.175104471
1.04,1.077627837,0.956387453,0.921375306,0.969477831,1.081959205,1.179960519
1.06,1.076219073,0.951579146,0.917424602,0.968022629,1.08452002,1.184966509
1.08,1.074600434,0.94656354,0.913408051,0.966620292,1.087262503,1.190110193
1.1,1.072750028,0.941334917,0.909327238,0.965278072,1.090193148,1.195387729
1.12,1.070670835,0.93588771,0.905184118,0.964003723,1.093331789,1.200791918
1.14,1.068341595,0.930216902,0.900981048,0.96280566,1.096687646,1.206315536
1.16,1.065767553,0.924317765,0.896720819,0.961680467,1.100273103,1.211947516
1.18,1.062928632,0.918186294,0.892406694,0.960645238,1.104098083,1.21769539
1.2,1.059806463,0.91181893,0.888042309,0.959695586,1.108156895,1.223544884
1.22,1.056409716,0.905212777,0.88363195,0.958848637,1.112485079,1.229479317
1.24,1.052719956,0.898391575,0.879180336,0.958098818,1.11706953,1.235503576
1.26,1.048724004,0.891354939,0.87469317,0.957463478,1.121924974,1.24156773
1.28,1.044405957,0.884104427,0.870176539,0.956936021,1.12708242,1.247676655
1.3,1.039747886,0.876642584,0.865637373,0.95651573,1.13252647,1.253804933
1.32,1.036705946,0.869002782,0.8610832,0.956238495,1.138296414,1.257981276
1.34,1.033304951,0.861202337,0.856503473,0.956091091,1.144375712,1.262142865
1.36,1.031524101,0.853248799,0.851912086,0.956112383,1.150765432,1.26424972
1.38,1.031372215,0.845161093,0.847322571,0.956289865,1.157500325,1.266311975
1.4,1.032878727,0.838814588,0.842747924,0.95664284,1.162521175,1.266267342
1.42,1.032153015,0.834268846,0.838185814,0.957187336,1.167847158,1.268142175
1.44,1.031175273,0.829629015,0.833661062,0.957928516,1.171432494,1.269926078
1.46,1.031902186,0.826816982,0.829189951,0.958858259,1.173222795,1.269473024
1.48,1.030371528,0.825860825,0.824797474,0.96001372,1.177314565,1.270915751
1.5,1.028648637,0.824837356,0.822370708,0.959353049,1.17958389,1.272174154
1.52,1.028687916,0.823807177,0.820060521,0.958927422,1.182015298,1.273250611
1.54,1.026459823,0.82275671,0.819754959,0.958650421,1.182521,1.274070493
1.56,1.026019733,0.821734455,0.819545828,0.960609978,1.185347868,1.274641243
1.58,1.023302015,0.820737389,0.817476632,0.960742763,1.188341046,1.277118486
1.6,1.020438797,0.819761794,0.817498111,0.961013427,1.189336465,1.277128497
1.62,1.019423581,0.818816085,0.815662958,0.963572026,1.192677991,1.276852708
1.64,1.016127807,0.817934602,0.813938127,0.964271458,1.196139269,1.27848161
1.66,1.014666981,0.817106682,0.814346107,0.965124643,1.199689176,1.27751422
1.68,1.013107229,0.814356482,0.812894973,0.964079235,1.203456353,1.276256347
1.7,1.011269838,0.813662394,0.813605521,0.965406462,1.207293543,1.276871768
1.72,1.009335308,0.813061816,0.812414851,0.96690965,1.20896587,1.274823374
1.74,1.005152968,0.812535435,0.811323599,0.968694735,1.213054313,1.274613994
1.76,1.002940182,0.812114866,0.812480865,0.970647492,1.217193937,1.27407389
1.78,1.000659549,0.809762093,0.811739856,0.972784147,1.219043299,1.270813808
1.8,0.998178162,0.809539353,0.811109575,0.97525615,1.223324215,1.269419055
1.82,0.995673652,0.807397726,0.81070679,0.977862412,1.227573095,1.267717554
1.84,0.992963039,0.807417201,0.810434312,0.978454795,1.229382149,1.265435933
1.86,0.99023283,0.805528386,0.812497156,0.981607336,1.233622086,1.262860046
